0.00,0.96,0.10
0.06,0.93,0.19
0.13,1.03,0.43
0.19,0.95,0.53
0.25,0.97,0.73
0.31,0.96,0.82
0.38,0.93,0.90
0.44,0.89,0.95
0.50,0.86,1.03
0.57,0.91,0.95
0.63,0.79,0.95
0.69,0.75,0.87
0.75,0.69,0.77
0.82,0.67,0.65
0.88,0.65,0.47
0.94,0.56,0.26
1.01,0.54,0.16
1.07,0.48,-0.04
1.13,0.45,-0.22
1.19,0.35,-0.38
1.26,0.31,-0.65
1.32,0.26,-0.71
1.38,0.14,-0.85
1.45,0.17,-0.94
1.51,0.03,-1.05
1.57,0.01,-0.99
1.63,-0.03,-1.00
1.70,-0.11,-0.96
1.76,-0.13,-0.83
1.82,-0.24,-0.70
1.88,-0.27,-0.55
1.95,-0.38,-0.42
2.01,-0.41,-0.28
2.07,-0.50,-0.02
2.14,-0.52,0.14
2.20,-0.60,0.30
2.26,-0.63,0.50
2.32,-0.68,0.59
2.39,-0.72,0.72
2.45,-0.76,0.86
2.51,-0.83,0.97
2.58,-0.92,1.00
2.64,-0.90,0.96
2.70,-0.93,0.99
2.76,-0.91,0.86
2.83,-0.93,0.81
2.89,-1.01,0.61
2.95,-0.92,0.50
3.02,-0.98,0.40
3.08,-0.91,0.16
3.14,-1.01,-0.07
3.20,-1.00,-0.16
3.27,-1.04,-0.37
3.33,-1.02,-0.50
3.39,-1.00,-0.64
3.46,-0.94,-0.78
3.52,-0.98,-0.93
3.58,-0.83,-0.96
3.64,-0.90,-0.98
3.71,-0.86,-0.98
3.77,-0.80,-0.94
3.83,-0.78,-0.87
3.90,-0.71,-0.79
3.96,-0.73,-0.60
4.02,-0.61,-0.50
4.08,-0.64,-0.35
4.15,-0.53,-0.11
4.21,-0.40,0.07
4.27,-0.43,0.23
4.34,-0.31,0.44
4.40,-0.32,0.61
4.46,-0.27,0.73
4.52,-0.17,0.84
4.59,-0.13,0.99
4.65,-0.09,0.95
4.71,-0.00,0.97
4.78,0.07,0.91
4.84,0.11,0.99
4.90,0.19,0.85
4.96,0.22,0.71
5.03,0.33,0.58
5.09,0.38,0.45
5.15,0.45,0.18
5.22,0.52,0.02
5.28,0.57,-0.13
5.34,0.57,-0.36
5.40,0.63,-0.50
5.47,0.70,-0.67
5.53,0.78,-0.72
5.59,0.78,-0.87
5.65,0.81,-0.92
5.72,0.87,-0.98
5.78,0.87,-1.03
5.84,0.88,-0.95
5.91,0.97,-0.87
5.97,0.97,-0.83
6.03,0.97,-0.69
6.09,0.96,-0.53
6.16,1.02,-0.40
6.22,0.99,-0.19
6.28,0.97,0.02
